Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh p.90,SoT p.90,xG,npxG
Kai Havertz,de GER,FWMF,Chelsea,23-332,1999,26.1,7,64,29,45.3,02.46,01.11,11.0,10.2
Jan Paul van Hecke,nl NED,DF,Brighton,22-335,2000,1.0,0,2,0,0.0,02.07,00.00,0.6,0.6
Hwang Hee-chan,kr KOR,FWMF,Wolves,27-103,1996,10.5,2,15,6,40.0,01.43,00.57,1.9,1.9
Dean Henderson,eng ENG,GK,Nott'ham Forest,26-058,1997,18.0,0,0,0,,00.00,00.00,0.0,0.0
Jordan Henderson,eng ENG,MF,Liverpool,32-326,1990,21.1,0,22,4,18.2,01.04,00.19,1.3,1.3
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-105,1987,2.0,0,0,0,,00.00,00.00,0.0,0.0
Rico Henry,eng ENG,DF,Brentford,25-305,1997,33.0,0,20,4,20.0,01.01,00.12,1.6,1.6
Son Heung-min,kr KOR,MFFW,Tottenham,30-305,1992,29.3,10,77,37,48.1,03.03,01.26,9.6,9.6
Aaron Hickey,sct SCO,DF,Brentford,20-333,2002,18.6,0,10,2,20.0,00.54,00.11,0.3,0.3
Joseph Hodge,ie IRL,MF,Wolves,20-237,2002,1.9,0,1,0,0.0,00.53,00.00,0.1,0.1
Rob Holding,eng ENG,DF,Arsenal,27-231,1995,6.3,1,5,2,40.0,01.20,00.32,0.3,0.3
Mason Holgate,eng ENG,DF,Everton,26-199,1996,4.9,0,3,0,0.0,01.01,00.00,0.3,0.3
Will Hughes,eng ENG,MF,Crystal Palace,28-022,1995,6.5,0,3,2,66.7,00.46,00.31,0.2,0.2
Omari Hutchinson,eng ENG,FW,Chelsea,19-191,2003,0.3,0,0,0,,00.00,00.00,0.0,0.0
Pierre Højbjerg,dk DEN,MF,Tottenham,27-277,1995,33.8,4,33,9,27.3,01.38,00.27,2.0,2.0
Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-218,1996,11.2,5,36,13,36.1,03.22,01.16,7.0,6.2
Danny Ings,eng ENG,FW,West Ham,30-290,1992,6.4,2,9,3,33.3,01.41,00.47,2.2,2.2
Danny Ings,eng ENG,FW,Aston Villa,30-290,1992,9.2,6,25,12,48.0,03.13,01.31,5.3,3.8
Alexander Isak,se SWE,FW,Newcastle Utd,23-230,1999,13.0,10,38,20,52.6,03.33,01.54,7.5,6.0
Daniel Iversen,dk DEN,GK,Leicester City,25-294,1997,9.0,0,0,0,,00.00,00.00,0.0,0.0
Alex Iwobi,ng NGA,MFFW,Everton,27-006,1996,34.5,2,37,13,35.1,01.07,00.38,2.3,2.3
Daniel James,wls WAL,FW,Leeds United,25-180,1997,2.2,0,3,1,33.3,01.36,00.45,0.3,0.3
Daniel James,wls WAL,FW,Fulham,25-180,1997,6.8,2,14,3,21.4,02.07,00.44,1.7,1.7
Reece James,eng ENG,DFMF,Chelsea,23-152,1999,13.8,1,16,4,25.0,01.16,00.29,1.0,1.0
Vitaly Janelt,de GER,MFDF,Brentford,24-364,1998,21.5,3,11,5,45.5,00.51,00.23,2.2,2.2
Pontus Jansson,se SWE,DF,Brentford,32-085,1991,8.0,1,4,2,50.0,00.50,00.25,0.3,0.3
Mathias Jensen,dk DEN,MF,Brentford,27-128,1996,29.6,5,21,7,33.3,01.11,00.24,2.1,2.1
Gabriel Jesus,br BRA,FW,Arsenal,26-036,1997,20.1,10,69,27,39.1,03.43,01.34,13.2,12.5
Raúl Jiménez,mx MEX,FW,Wolves,32-004,1991,8.3,0,20,9,45.0,02.42,01.09,2.6,2.6
Joelinton,br BRA,MFFW,Newcastle Utd,26-268,1996,27.6,6,48,19,39.6,02.14,01.09,6.9,6.9
Ben Johnson,eng ENG,DF,West Ham,23-105,2000,8.6,0,1,0,0.0,00.12,00.00,0.0,0.0
Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-351,2001,31.4,8,51,24,47.1,02.03,01.17,8.5,6.2
Sam Johnstone,eng ENG,GK,Crystal Palace,30-045,1993,6.0,0,0,0,,00.00,00.00,0.0,0.0
Curtis Jones,eng ENG,MF,Liverpool,22-099,2001,9.3,1,10,3,30.0,01.08,00.32,0.6,0.6
Jorginho,it ITA,MF,Arsenal,31-140,1991,6.8,0,3,0,0.0,00.44,00.00,0.1,0.1
Jorginho,it ITA,MF,Chelsea,31-140,1991,14.2,2,3,1,33.3,00.21,00.07,1.7,0.1
Mateo Joseph,eng ENG,FWMF,Leeds United,19-202,2003,0.3,0,1,1,100.0,03.46,03.46,0.1,0.1
Diogo Jota,pt POR,FW,Liverpool,26-156,1996,11.1,5,31,9,29.0,03.20,01.21,5.5,5.5
Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-082,2000,4.7,0,6,0,0.0,01.26,00.00,0.9,0.9
James Justin,eng ENG,DF,Leicester City,25-075,1998,13.9,0,5,0,0.0,00.36,00.00,0.3,0.3
Mathias Jørgensen,dk DEN,DF,Brentford,33-016,1990,11.1,0,4,1,25.0,00.36,00.09,0.8,0.8
Sasa Kalajdzic,at AUT,FW,Wolves,25-306,1997,0.5,0,1,0,0.0,02.00,00.00,0.3,0.3
Boubacar Kamara,fr FRA,MF,Aston Villa,23-167,1999,17.5,0,4,1,25.0,00.23,00.06,0.2,0.2
Harry Kane,eng ENG,FW,Tottenham,29-285,1993,34.8,26,116,48,41.4,03.33,01.38,19.2,15.3
N'Golo Kanté,fr FRA,MF,Chelsea,32-041,1991,5.8,0,8,1,12.5,01.39,00.17,0.3,0.3
Michael Keane,eng ENG,DF,Everton,30-118,1993,10.3,1,14,4,28.6,01.37,00.39,1.3,1.3
Neeskens Kebano,cd COD,FW,Fulham,31-060,1992,8.3,0,9,2,22.2,01.08,00.24,0.5,0.5
Thilo Kehrer,de GER,DF,West Ham,26-230,1996,23.3,0,7,1,14.3,00.30,00.04,0.4,0.4
Naby Keïta,gn GUI,MF,Liverpool,28-088,1995,3.3,0,10,0,0.0,03.07,00.00,0.6,0.6
Lloyd Kelly,eng ENG,DF,Bournemouth,24-215,1998,19.7,0,3,0,0.0,00.15,00.00,0.2,0.2
Max Kilman,eng ENG,DF,Wolves,25-351,1997,35.0,0,12,0,0.0,00.34,00.00,1.2,1.2
Jakub Kiwior,pl POL,DF,Arsenal,23-083,2000,2.2,0,0,0,,00.00,00.00,0.0,0.0
Mateusz Klich,pl POL,MFFW,Leeds United,32-330,1990,3.1,0,4,1,25.0,01.29,00.32,0.2,0.2
Robin Koch,de GER,DF,Leeds United,26-296,1996,32.3,0,12,3,25.0,00.37,00.09,1.1,1.1
Ibrahima Konaté,fr FRA,DF,Liverpool,23-349,1999,15.2,0,9,3,33.3,00.59,00.20,1.1,1.1
Ezri Konsa,eng ENG,DF,Aston Villa,25-198,1997,33.9,0,8,0,0.0,00.24,00.00,1.1,1.1
Kalidou Koulibaly,sn SEN,DF,Chelsea,31-323,1991,19.9,2,11,4,36.4,00.55,00.20,0.9,0.9
Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-139,1989,9.3,1,6,5,83.3,01.04,00.54,0.4,0.4
Mateo Kova?i?,hr CRO,MF,Chelsea,29-003,1994,18.2,1,23,1,4.3,01.26,00.05,1.8,1.8
Emil Krafth,se SWE,DF,Newcastle Utd,28-280,1994,0.0,0,0,0,,00.00,00.00,0.0,0.0
Dejan Kulusevski,se SWE,MFFW,Tottenham,23-014,2000,21.1,2,39,9,23.1,02.25,00.43,2.2,2.2
Layvin Kurzawa,fr FRA,DF,Fulham,30-247,1992,1.5,0,0,0,,00.00,00.00,0.0,0.0
Adam Lallana,eng ENG,MFFW,Brighton,34-364,1988,8.0,2,8,5,62.5,01.00,01.02,0.9,0.9
Tariq Lamptey,gh GHA,DF,Brighton,22-221,2000,5.0,0,5,0,0.0,01.39,00.00,0.2,0.2
Manuel Lanzini,ar ARG,MFFW,West Ham,30-083,1993,1.7,0,2,0,0.0,01.20,00.00,0.1,0.1
Aymeric Laporte,es ESP,DF,Manchester City,28-347,1994,8.2,0,9,1,11.1,01.10,00.12,0.4,0.4
Juan Larios,es ESP,DF,Southampton,19-117,2004,1.7,0,0,0,,00.00,00.00,0.0,0.0
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-179,1993,2.4,0,2,0,0.0,01.23,00.00,0.1,0.1
Roméo Lavia,be BEL,MF,Southampton,19-123,2004,22.1,1,11,3,27.3,00.50,00.14,0.4,0.4
Dexter Lembikisa,jm JAM,DF,Wolves,19-186,2003,0.3,0,0,0,,00.00,00.00,0.0,0.0
Mario Lemina,ga GAB,MF,Wolves,29-250,1993,12.4,0,9,2,22.2,01.12,00.16,0.3,0.3
Clément Lenglet,fr FRA,DF,Tottenham,27-326,1995,19.4,0,12,2,16.7,01.02,00.10,0.9,0.9
Bernd Leno,de GER,GK,Fulham,31-066,1992,33.0,0,0,0,,00.00,00.00,0.0,0.0
Jefferson Lerma,co COL,MF,Bournemouth,28-196,1994,33.1,5,34,10,29.4,01.03,00.30,2.5,2.5
Jamal Lewis,nir NIR,DF,Newcastle Utd,25-104,1998,0.1,0,0,0,,00.00,00.00,0.0,0.0
Rico Lewis,eng ENG,DFMF,Manchester City,18-169,2004,7.0,0,4,1,25.0,00.57,00.14,0.2,0.2
Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-076,2001,3.6,0,7,2,28.6,02.36,00.56,0.5,0.5
Victor Lindelöf,se SWE,DF,Manchester Utd,28-296,1994,11.2,0,2,0,0.0,00.18,00.00,0.1,0.1
Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-145,1992,10.3,0,10,2,20.0,01.38,00.20,1.0,1.0
Diego Llorente,es ESP,DF,Leeds United,29-266,1993,7.2,0,6,0,0.0,01.23,00.00,0.7,0.7
Hugo Lloris,fr FRA,GK,Tottenham,36-134,1986,24.5,0,0,0,,00.00,00.00,0.0,0.0
Renan Lodi,br BRA,DF,Nott'ham Forest,25-031,1998,22.1,0,11,0,0.0,00.50,00.00,0.8,0.8
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-106,1996,14.9,0,9,2,22.2,01.00,00.13,0.8,0.8
Sean Longstaff,eng ENG,MF,Newcastle Utd,25-191,1997,27.0,1,30,6,20.0,01.11,00.22,3.4,3.4
Jamal Lowe,jm JAM,MFFW,Bournemouth,28-292,1994,0.1,0,0,0,,00.00,00.00,0.0,0.0
Douglas Luiz,br BRA,MF,Aston Villa,25-000,1998,29.6,4,30,10,33.3,01.02,00.34,2.5,2.5
Saša Luki?,rs SRB,MF,Fulham,26-269,1996,3.7,0,4,1,25.0,01.08,00.27,0.1,0.1
Lyanco,br BRA,DF,Southampton,26-097,1997,10.1,1,12,4,33.3,01.19,00.40,0.6,0.6
Alexis Mac Allister,ar ARG,MF,Brighton,24-136,1998,28.2,10,75,27,36.0,03.06,01.36,11.9,7.1
James Maddison,eng ENG,MFFW,Leicester City,26-167,1996,25.1,10,77,25,32.5,03.07,01.00,8.1,6.1
Noni Madueke,eng ENG,FW,Chelsea,21-060,2002,4.2,1,9,5,55.6,02.13,01.18,0.8,0.8
Harry Maguire,eng ENG,DF,Manchester Utd,30-065,1993,7.4,0,2,0,0.0,00.27,00.00,0.3,0.3
Riyad Mahrez,dz ALG,FWMF,Manchester City,32-077,1991,17.5,5,38,12,31.6,02.17,01.08,5.4,4.6
Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-020,2005,0.1,0,0,0,,00.00,00.00,0.0,0.0
Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-253,1997,14.7,0,1,1,100.0,00.07,00.07,0.0,0.0
Tyrell Malacia,nl NED,DF,Manchester Utd,23-265,1999,14.0,0,5,2,40.0,00.36,00.14,0.2,0.2
Orel Mangala,be BEL,MF,Nott'ham Forest,25-052,1998,14.4,1,9,3,33.3,01.02,00.21,0.6,0.6
Javier Manquillo,es ESP,DF,Newcastle Utd,29-004,1994,0.4,0,0,0,,00.00,00.00,0.0,0.0
Sekou Mara,fr FRA,FWMF,Southampton,20-283,2002,5.8,1,17,4,23.5,03.31,01.08,1.0,1.0
Solly March,eng ENG,FWDF,Brighton,28-293,1994,30.2,7,74,31,41.9,02.45,01.03,8.1,8.1
Emiliano Marcondes,dk DEN,MF,Bournemouth,28-061,1995,0.1,0,0,0,,00.00,00.00,0.0,0.0
Marquinhos,br BRA,MF,Arsenal,20-032,2003,0.0,0,0,0,,00.00,00.00,0.0,0.0
Anthony Martial,fr FRA,FW,Manchester Utd,27-155,1995,8.5,4,19,9,47.4,02.25,01.06,4.5,3.7
Martinelli,br BRA,FW,Arsenal,21-325,2001,30.8,15,79,30,38.0,02.57,01.37,9.3,9.3
Emiliano Martínez,ar ARG,GK,Aston Villa,30-249,1992,31.9,0,0,0,,00.00,00.00,0.0,0.0
Lisandro Martínez,ar ARG,DF,Manchester Utd,25-111,1998,23.5,1,10,1,10.0,00.43,00.04,0.5,0.5
Pape Matar Sarr,sn SEN,MF,Tottenham,20-237,2002,2.2,0,2,0,0.0,01.33,00.00,0.1,0.1
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-315,1997,8.2,2,26,7,26.9,03.18,01.26,3.3,3.3
Joël Matip,cm CMR,DF,Liverpool,31-274,1991,11.1,1,4,3,75.0,00.36,00.27,0.7,0.7
Neal Maupay,fr FRA,FW,Everton,26-268,1996,11.8,1,30,13,43.3,02.54,01.10,4.3,4.3
Kevin Mbabu,ch SUI,DFFW,Fulham,28-020,1995,1.6,0,0,0,,00.00,00.00,0.0,0.0
Bryan Mbeumo,cm CMR,FW,Brentford,23-275,1999,29.3,6,57,25,43.9,02.34,01.25,8.0,7.2
James McArthur,sct SCO,MF,Crystal Palace,35-214,1987,0.2,0,0,0,,00.00,00.00,0.0,0.0
Alex McCarthy,eng ENG,GK,Southampton,33-157,1989,3.0,0,0,0,,00.00,00.00,0.0,0.0
John McGinn,sct SCO,MFFW,Aston Villa,28-203,1994,26.9,1,38,9,23.7,01.41,00.33,2.2,2.2
Scott McKenna,sct SCO,DF,Nott'ham Forest,26-178,1996,17.5,0,2,0,0.0,00.11,00.00,0.1,0.1
Weston McKennie,us USA,MF,Leeds United,24-254,1998,13.4,0,9,2,22.2,01.07,00.15,0.5,0.5
Dwight McNeil,eng ENG,FWMF,Everton,23-168,1999,24.8,7,45,15,33.3,02.22,01.01,3.5,3.5
Scott McTominay,sct SCO,MF,Manchester Utd,26-152,1996,12.5,1,11,4,36.4,01.28,00.32,1.3,1.3
Ben Mee,eng ENG,DF,Brentford,33-230,1989,33.3,3,23,5,21.7,01.09,00.15,2.4,2.4
Edouard Mendy,sn SEN,GK,Chelsea,31-069,1992,8.5,0,0,0,,00.00,00.00,0.0,0.0
Nampalys Mendy,sn SEN,MF,Leicester City,30-320,1992,8.2,1,2,1,50.0,00.24,00.12,0.1,0.1
Chris Mepham,wls WAL,DF,Bournemouth,25-185,1997,23.4,0,8,4,50.0,00.34,00.17,0.7,0.7
Illan Meslier,fr FRA,GK,Leeds United,23-068,2000,34.0,0,1,1,100.0,00.03,00.03,0.1,0.1
Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-028,2002,0.1,0,0,0,,00.00,00.00,0.0,0.0
Luka Milivojevi?,rs SRB,MF,Crystal Palace,32-032,1991,5.7,0,7,0,0.0,01.23,00.00,0.3,0.3
James Milner,eng ENG,MFDF,Liverpool,37-125,1986,8.7,0,6,1,16.7,01.09,00.11,0.4,0.4
Yerry Mina,co COL,DF,Everton,28-228,1994,3.6,1,3,2,66.7,01.23,00.56,0.2,0.2
Tyrone Mings,eng ENG,DF,Aston Villa,30-057,1993,32.0,1,7,2,28.6,00.22,00.06,1.2,1.2
Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-250,1999,29.1,0,6,1,16.7,00.21,00.03,0.6,0.6
Kaoru Mitoma,jp JPN,FW,Brighton,25-354,1997,21.5,7,42,19,45.2,02.35,01.28,5.8,5.8
Aleksandar Mitrovi?,rs SRB,FW,Fulham,28-235,1994,20.1,11,80,25,31.3,04.37,01.24,12.3,7.6
Kieffer Moore,wls WAL,FW,Bournemouth,30-274,1992,13.2,4,21,7,33.3,01.59,00.53,4.0,4.0
Andrew Moran,ie IRL,FW,Brighton,19-206,2003,0.1,0,0,0,,00.00,00.00,0.0,0.0
Álex Moreno,es ESP,DF,Aston Villa,29-335,1993,13.6,0,13,3,23.1,01.35,00.22,0.6,0.6
Mason Mount,eng ENG,MFFW,Chelsea,24-119,1999,18.3,3,33,9,27.3,02.20,00.49,2.0,2.0
Lucas Moura,br BRA,MFDF,Tottenham,30-269,1992,1.4,0,1,0,0.0,01.11,00.00,0.1,0.1
João Moutinho,pt POR,MF,Wolves,36-243,1986,19.8,0,16,3,18.8,01.21,00.15,1.3,1.3
Divin Mubama,eng ENG,FW,West Ham,18-196,2004,0.0,0,0,0,,00.00,00.00,0.0,0.0
Mykhailo Mudryk,ua UKR,FW,Chelsea,22-124,2001,6.4,0,9,3,33.3,01.42,00.47,1.2,1.2
Jacob Murphy,eng ENG,FW,Newcastle Utd,28-074,1995,13.5,4,29,10,34.5,02.15,01.14,3.3,3.3
Enock Mwepu,zm ZAM,FWMF,Brighton,25-128,1998,2.4,0,2,1,50.0,01.25,00.42,0.2,0.2
Vitaliy Mykolenko,ua UKR,DF,Everton,23-345,1999,29.5,0,10,3,30.0,00.34,00.10,0.5,0.5
Keylor Navas,cr CRC,GK,Nott'ham Forest,36-145,1986,15.0,0,0,0,,00.00,00.00,0.0,0.0
Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-144,1996,17.0,0,7,2,28.6,00.41,00.12,0.2,0.2
Reiss Nelson,eng ENG,FW,Arsenal,23-150,1999,1.7,3,8,6,75.0,05.20,04.00,0.8,0.8
Neto,br BRA,GK,Bournemouth,33-294,1989,24.5,0,0,0,,00.00,00.00,0.0,0.0
Pedro Neto,pt POR,FWMF,Wolves,23-061,2000,10.2,0,17,3,17.6,02.06,00.29,1.1,1.1
Rúben Neves,pt POR,MF,Wolves,26-057,1997,31.1,6,62,13,21.0,02.39,00.42,5.1,2.8
Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-062,1996,9.9,0,5,3,60.0,00.50,00.30,0.3,0.3
Rasmus Nissen,dk DEN,DF,Leeds United,25-302,1997,18.8,2,11,4,36.4,00.59,00.21,0.7,0.7
Eddie Nketiah,eng ENG,FW,Arsenal,23-344,1999,11.5,4,40,14,35.0,03.47,01.22,7.4,7.4
Matheus Nunes,pt POR,MF,Wolves,24-255,1998,25.7,1,26,8,30.8,01.01,00.31,2.3,2.3
Darwin Núñez,uy URU,FW,Liverpool,23-319,1999,18.8,9,84,35,41.7,04.46,02.26,12.1,12.1
Ethan Nwaneri,eng ENG,FW,Arsenal,16-049,2007,0.0,0,0,0,,00.00,00.00,0.0,0.0
Christian Nørgaard,dk DEN,MF,Brentford,29-060,1994,19.6,1,19,8,42.1,01.37,00.41,1.6,1.6
Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-207,1998,6.5,1,7,2,28.6,01.08,00.31,0.3,0.3
Odeluga Offiah,eng ENG,DF,Brighton,20-195,2002,0.0,0,0,0,,00.00,00.00,0.0,0.0
Angelo Ogbonna,it ITA,DF,West Ham,34-351,1988,11.7,0,3,0,0.0,00.26,00.00,0.3,0.3
Michael Olise,fr FRA,FWMF,Crystal Palace,21-148,2001,27.6,2,43,11,25.6,01.56,00.40,2.6,2.6
Robin Olsen,se SWE,GK,Aston Villa,33-121,1990,3.1,0,0,0,,00.00,00.00,0.0,0.0
Amadou Onana,be BEL,MF,Everton,21-266,2001,25.4,1,32,6,18.8,01.26,00.24,2.9,2.9
Josh Onomah,eng ENG,MF,Fulham,26-012,1997,0.2,0,0,0,,00.00,00.00,0.0,0.0
Paul Onuachu,ng NGA,FW,Southampton,28-346,1994,3.8,0,9,4,44.4,02.34,01.04,1.0,1.0
Frank Onyeka,ng NGA,MF,Brentford,25-128,1998,7.8,0,7,3,42.9,01.30,00.38,0.9,0.9
Mislav Orši?,hr CRO,MF,Southampton,30-131,1992,0.1,0,0,0,,00.00,00.00,0.0,0.0
Stefan Ortega,de GER,GK,Manchester City,30-184,1992,1.0,0,0,0,,00.00,00.00,0.0,0.0
Dango Ouattara,bf BFA,MFFW,Bournemouth,21-087,2002,11.7,1,24,5,20.8,02.05,00.43,3.5,3.5
Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-267,1993,3.7,1,7,3,42.9,02.28,01.21,1.3,1.3
David Ozoh,,FW,Crystal Palace,17-343,2005,0.0,0,0,0,,00.00,00.00,0.0,0.0
João Palhinha,pt POR,MF,Fulham,27-304,1995,31.7,3,38,9,23.7,01.20,00.28,2.8,2.8
Cole Palmer,eng ENG,FWMF,Manchester City,21-003,2002,1.7,0,2,0,0.0,01.20,00.00,0.1,0.1
Emerson Palmieri,it ITA,DFFW,West Ham,28-279,1994,12.4,1,8,3,37.5,01.04,00.24,0.7,0.7
Lucas Paquetá,br BRA,MF,West Ham,25-255,1997,22.1,4,47,12,25.5,02.12,00.54,4.1,3.3
Thomas Partey,gh GHA,MF,Arsenal,29-330,1993,25.2,3,28,4,14.3,01.11,00.16,2.2,2.2
Nathan Patterson,sct SCO,DFMF,Everton,21-205,2001,12.9,0,8,1,12.5,01.02,00.08,0.5,0.5
Ben Pearson,eng ENG,MF,Bournemouth,28-125,1995,3.2,0,2,1,50.0,01.03,00.31,0.0,0.0
Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-140,2001,0.6,0,0,0,,00.00,00.00,0.0,0.0
Andreas Pereira,br BRA,MF,Fulham,27-128,1996,29.9,4,61,22,36.1,02.04,01.14,7.3,6.5
Ricardo Pereira,pt POR,DFMF,Leicester City,29-215,1993,4.3,1,2,1,50.0,00.47,00.23,0.1,0.1
Ayoze Pérez,es ESP,MFFW,Leicester City,29-284,1993,4.2,0,8,2,25.0,02.28,00.47,1.1,1.1
Ivan Periši?,hr CRO,DFMF,Tottenham,34-096,1989,23.3,1,29,8,27.6,01.24,00.34,2.6,2.6
Romain Perraud,fr FRA,DF,Southampton,25-229,1997,20.4,2,30,6,20.0,01.47,00.29,1.3,1.3
Máximo Perrone,ar ARG,MF,Manchester City,20-122,2003,0.2,0,0,0,,00.00,00.00,0.0,0.0
Kalvin Phillips,eng ENG,MF,Manchester City,27-158,1995,1.2,0,2,0,0.0,02.04,00.00,0.1,0.1
Nathaniel Phillips,eng ENG,DF,Liverpool,26-049,1997,0.7,0,1,0,0.0,01.36,00.00,0.0,0.0
Jordan Pickford,eng ENG,GK,Everton,29-063,1994,34.0,0,0,0,,00.00,00.00,0.0,0.0
Ethan Pinnock,jm JAM,DF,Brentford,29-345,1993,27.0,2,12,6,50.0,00.44,00.22,2.7,2.7
Daniel Podence,pt POR,FWMF,Wolves,27-200,1995,18.6,6,40,17,42.5,02.15,01.32,3.6,3.6
Nick Pope,eng ENG,GK,Newcastle Utd,31-020,1992,33.2,0,0,0,,00.00,00.00,0.0,0.0
Pedro Porro,es ESP,DFMF,Tottenham,23-238,1999,10.5,2,21,6,28.6,02.00,00.57,1.5,1.5
Dennis Praet,be BEL,MFFW,Leicester City,28-360,1994,7.2,1,5,2,40.0,01.09,00.28,1.0,1.0
Isaac Price,nir NIR,MF,Everton,19-225,2003,0.4,0,0,0,,00.00,00.00,0.0,0.0
Christian Pulisic,us USA,FWDF,Chelsea,24-233,1998,8.7,1,17,5,29.4,02.35,00.57,1.4,1.4
Aaron Ramsdale,eng ENG,GK,Arsenal,24-360,1998,35.0,0,0,0,,00.00,00.00,0.0,0.0
Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-346,2001,26.3,4,28,9,32.1,01.07,00.34,3.3,3.3
Marcus Rashford,eng ENG,FW,Manchester Utd,25-190,1997,30.5,16,97,44,45.4,03.18,01.44,13.6,13.6
David Raya,es ESP,GK,Brentford,27-236,1995,35.0,0,1,0,0.0,00.03,00.00,0.1,0.1
Tim Ream,us USA,DF,Fulham,35-216,1987,32.2,1,3,2,66.7,00.09,00.06,0.3,0.3
Nathan Redmond,eng ENG,DF,Southampton,29-064,1994,0.0,0,0,0,,00.00,00.00,0.0,0.0
Harrison Reed,eng ENG,MF,Fulham,28-102,1995,29.6,3,20,7,35.0,01.08,00.24,1.9,1.9
Bobby Reid,jm JAM,FWDF,Fulham,30-096,1993,27.1,4,31,10,32.3,01.14,00.37,3.9,3.9
Declan Rice,eng ENG,MF,West Ham,24-115,1999,34.0,3,32,7,21.9,01.34,00.21,2.1,1.3
Chris Richards,us USA,DF,Crystal Palace,23-042,2000,5.0,0,4,0,0.0,01.21,00.00,0.7,0.7
Richarlison,br BRA,MFFW,Tottenham,25-364,1997,10.2,1,22,9,40.9,02.16,01.28,2.6,2.6
Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-242,1996,0.5,0,0,0,,00.00,00.00,0.0,0.0
Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-241,1989,0.4,0,0,0,,00.00,00.00,0.0,0.0
Andrew Robertson,sct SCO,DF,Liverpool,29-059,1994,26.9,0,13,2,15.4,00.48,00.07,1.3,1.3
Antonee Robinson,us USA,DF,Fulham,25-274,1997,31.3,0,3,0,0.0,00.10,00.00,0.1,0.1
Joel Robles,es ESP,GK,Leeds United,32-326,1990,1.0,0,0,0,,00.00,00.00,0.0,0.0
Marc Roca,es ESP,MF,Leeds United,26-164,1996,25.7,1,35,13,37.1,01.36,00.51,2.1,2.1
Marek Rodák,sk SVK,GK,Fulham,26-147,1996,2.0,0,0,0,,00.00,00.00,0.0,0.0
Rodri,es ESP,MF,Manchester City,26-321,1996,30.2,2,49,13,26.5,02.02,00.43,4.6,4.6
Rodrigo,es ESP,FWMF,Leeds United,32-064,1991,18.5,12,61,23,37.7,03.29,01.24,7.6,6.8
Mads Roerslev,dk DEN,DF,Brentford,23-319,1999,12.2,0,3,0,0.0,00.25,00.00,0.3,0.3
Cristian Romero,ar ARG,DF,Tottenham,25-012,1998,25.3,0,11,2,18.2,00.44,00.08,1.5,1.5
Oriol Romeu,es ESP,MF,Southampton,31-227,1991,0.8,0,0,0,,00.00,00.00,0.0,0.0
Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-093,1985,5.8,1,25,6,24.0,04.29,01.03,1.9,1.9
Connor Ronan,ie IRL,MF,Wolves,25-064,1998,0.0,0,0,0,,00.00,00.00,0.0,0.0
Salomón Rondón,ve VEN,FW,Everton,33-235,1989,1.2,0,4,1,25.0,03.30,01.23,0.8,0.8
Joe Rothwell,eng ENG,MF,Bournemouth,28-118,1995,10.4,0,3,2,66.7,00.29,00.19,0.2,0.2
Georginio Rutter,fr FRA,FWMF,Leeds United,21-019,2002,2.7,0,3,0,0.0,01.12,00.00,0.3,0.3
José Sá,pt POR,GK,Wolves,30-112,1993,35.0,0,0,0,,00.00,00.00,0.0,0.0
Marcel Sabitzer,at AUT,MF,Manchester Utd,29-053,1994,7.0,0,11,3,27.3,01.58,00.43,0.7,0.7
Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-058,1997,11.2,1,26,10,38.5,02.32,01.29,1.5,1.5
Bukayo Saka,eng ENG,FW,Arsenal,21-246,2001,32.7,13,80,26,32.5,02.45,01.20,10.8,8.6
Mohamed Salah,eg EGY,FW,Liverpool,30-328,1992,33.6,19,106,42,39.6,03.16,01.25,19.4,16.2
William Saliba,fr FRA,DF,Arsenal,22-046,2001,26.8,2,6,3,50.0,00.22,00.11,0.9,0.9
Mohammed Salisu,gh GHA,DF,Southampton,24-022,1999,21.9,0,19,4,21.1,01.27,00.18,1.5,1.5
Albert Sambi Lokonga,be BEL,MF,Arsenal,23-199,1999,2.2,0,0,0,,00.00,00.00,0.0,0.0
