Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh p.90,SoT p.90,xG,npxG
Armel Bella Kotchap,de GER,DF,Southampton,21-149,2001,20.9,0,14,2,14.3,01.07,00.10,1.0,1.0
Saïd Benrahma,dz ALG,FWMF,West Ham,27-272,1995,22.0,6,66,22,33.3,03.01,01.00,6.8,3.7
Rodrigo Bentancur,uy URU,MF,Tottenham,25-318,1997,16.7,5,15,9,60.0,01.30,00.54,2.2,2.2
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-144,2002,9.9,0,3,0,0.0,00.30,00.00,0.1,0.1
Owen Bevan,wls WAL,DF,Bournemouth,19-195,2003,0.1,0,0,0,,00.00,00.00,0.0,0.0
Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-039,2000,0.2,0,0,0,,00.00,00.00,0.0,0.0
Philip Billing,dk DEN,MFFW,Bournemouth,26-332,1996,29.1,7,38,18,47.4,01.31,01.02,4.9,4.9
Yves Bissouma,ml MLI,MF,Tottenham,26-252,1996,9.0,0,5,0,0.0,00.55,00.00,0.2,0.2
Willy Boly,ci CIV,DF,Nott'ham Forest,32-095,1991,6.7,0,1,0,0.0,00.15,00.00,0.0,0.0
Sven Botman,nl NED,DF,Newcastle Utd,23-117,2000,30.7,0,21,7,33.3,01.08,00.23,2.4,2.4
Jarrod Bowen,eng ENG,FWMF,West Ham,26-140,1996,34.6,5,69,18,26.1,02.39,00.52,8.4,7.3
James Bree,eng ENG,DF,Southampton,25-210,1997,2.2,0,0,0,,00.00,00.00,0.0,0.0
Armando Broja,al ALB,FW,Chelsea,21-241,2001,3.3,1,6,5,83.3,02.24,01.53,0.8,0.8
David Brooks,wls WAL,FWDF,Bournemouth,25-305,1997,0.4,0,1,0,0.0,03.21,00.00,0.0,0.0
Lewis Brunt,eng ENG,DF,Leicester City,22-184,2000,0.3,0,0,0,,00.00,00.00,0.0,0.0
Bryan,es ESP,MFFW,Tottenham,22-087,2001,1.6,0,2,1,50.0,01.22,01.01,0.1,0.1
Emi Buendía,ar ARG,MFFW,Aston Villa,26-135,1996,25.5,5,46,10,21.7,02.20,00.39,6.1,6.1
Hugo Bueno,es ESP,DF,Wolves,20-233,2002,13.7,0,4,1,25.0,00.29,00.07,0.2,0.2
Facundo Buonanotte,ar ARG,FWMF,Brighton,18-137,2004,3.2,1,6,1,16.7,02.28,00.31,1.0,1.0
Dan Burn,eng ENG,DF,Newcastle Utd,31-000,1992,31.4,0,15,3,20.0,00.48,00.10,1.4,1.4
Cafú,pt POR,MF,Nott'ham Forest,30-072,1993,0.1,0,0,0,,00.00,00.00,0.0,0.0
Moisés Caicedo,ec ECU,MF,Brighton,21-188,2001,30.4,1,25,7,28.0,01.22,00.23,1.6,1.6
Tom Cairney,sct SCO,MF,Fulham,32-109,1991,8.5,2,15,2,13.3,02.17,00.24,1.0,1.0
Duje ?aleta-Car,hr CRO,DF,Southampton,26-234,1996,10.5,1,5,2,40.0,00.48,00.19,0.8,0.8
Dominic Calvert-Lewin,eng ENG,FW,Everton,26-054,1997,12.0,2,27,9,33.3,02.26,01.15,5.4,4.6
Chem Campbell,wls WAL,FWMF,Wolves,20-130,2002,0.8,0,2,0,0.0,02.43,00.00,0.1,0.1
João Cancelo,pt POR,DF,Manchester City,28-347,1994,14.2,2,17,3,17.6,01.20,00.21,0.8,0.8
Thomas Cannon,ie IRL,FW,Everton,20-132,2002,0.3,0,1,1,100.0,04.00,04.00,0.1,0.1
Sergi Canós,es ESP,FWDF,Brentford,26-096,1997,0.9,0,1,0,0.0,01.17,00.00,0.1,0.1
Diego Carlos,br BRA,DF,Aston Villa,30-055,1993,2.3,0,4,0,0.0,02.16,00.00,0.4,0.4
Fabio Carvalho,pt POR,MFFW,Liverpool,20-252,2002,3.8,2,11,4,36.4,03.31,01.06,1.1,1.1
Casemiro,br BRA,MF,Manchester Utd,31-075,1992,19.9,2,24,6,25.0,01.21,00.30,2.6,2.6
Matty Cash,pl POL,DF,Aston Villa,25-275,1997,18.2,0,7,1,14.3,00.38,00.05,0.2,0.2
Timothy Castagne,be BEL,DF,Leicester City,27-155,1995,33.2,2,18,4,22.2,00.54,00.12,2.1,2.1
Jonny Castro,es ESP,DF,Wolves,29-067,1994,14.0,1,9,2,22.2,01.04,00.14,0.3,0.3
Julio César Enciso,py PAR,FWMF,Brighton,19-106,2004,5.9,2,28,14,50.0,05.15,02.38,2.7,2.7
Nathaniel Chalobah,eng ENG,MF,Fulham,28-148,1994,0.1,0,1,1,100.0,07.50,07.50,0.1,0.1
Trevoh Chalobah,eng ENG,DF,Chelsea,23-308,1999,14.4,0,6,1,16.7,00.42,00.07,0.6,0.6
Calum Chambers,eng ENG,DFMF,Aston Villa,28-109,1995,3.9,0,2,0,0.0,00.51,00.00,0.1,0.1
Ben Chilwell,eng ENG,DFMF,Chelsea,26-139,1996,15.6,2,16,4,25.0,01.02,00.26,1.4,1.4
Ryan Christie,sct SCO,MFFW,Bournemouth,28-076,1995,18.3,1,30,8,26.7,02.04,00.44,2.3,2.3
Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-201,2003,2.6,0,4,1,25.0,01.55,00.39,0.3,0.3
Bobby Clark,eng ENG,MF,Liverpool,18-091,2005,0.1,0,0,0,,00.00,00.00,0.0,0.0
Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-034,1991,18.2,0,0,0,,00.00,00.00,0.0,0.0
Conor Coady,eng ENG,DF,Everton,30-073,1993,21.9,1,4,2,50.0,00.18,00.09,0.8,0.8
Jack Colback,eng ENG,MF,Nott'ham Forest,33-197,1989,5.5,0,0,0,,00.00,00.00,0.0,0.0
Séamus Coleman,ie IRL,DF,Everton,34-210,1988,18.4,1,7,2,28.6,00.38,00.11,0.4,0.4
Nathan Collins,ie IRL,DF,Wolves,22-009,2001,18.2,0,2,0,0.0,00.11,00.00,0.1,0.1
Levi Colwill,eng ENG,DF,Brighton,20-072,2003,9.6,0,7,0,0.0,01.13,00.00,1.4,1.4
Lewis Cook,eng ENG,MF,Bournemouth,26-095,1997,18.0,0,5,0,0.0,00.28,00.00,0.2,0.2
Steve Cook,eng ENG,DF,Nott'ham Forest,32-020,1991,10.6,0,3,0,0.0,00.28,00.00,0.1,0.1
Liam Cooper,sct SCO,DF,Leeds United,31-252,1991,14.8,1,10,2,20.0,01.07,00.13,1.0,1.0
Maxwel Cornet,ci CIV,FW,West Ham,26-224,1996,1.9,0,7,2,28.6,04.17,01.08,1.1,1.1
Diego Costa,es ESP,FW,Wolves,34-214,1988,12.7,1,27,13,48.1,02.13,01.02,3.2,3.2
