Player,Nation,Pos,Squad,Age,Born,90s,Shot Creating Actions,SCA90,Goal Creating Actions,GCA90
Pontus Jansson,se SWE,DF,Brentford,32-085,1991,8.0,2,00.25,1,00.12
Mathias Jensen,dk DEN,MF,Brentford,27-128,1996,29.6,95,03.21,11,00.37
Gabriel Jesus,br BRA,FW,Arsenal,26-036,1997,20.1,77,04.23,11,00.55
Raúl Jiménez,mx MEX,FW,Wolves,32-004,1991,8.3,16,02.34,2,00.24
Joelinton,br BRA,MFFW,Newcastle Utd,26-268,1996,27.6,76,03.16,10,00.36
Ben Johnson,eng ENG,DF,West Ham,23-105,2000,8.6,8,01.33,0,00.00
Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-351,2001,31.4,55,02.15,11,00.35
Sam Johnstone,eng ENG,GK,Crystal Palace,30-045,1993,6.0,0,00.00,0,00.00
Curtis Jones,eng ENG,MF,Liverpool,22-099,2001,9.3,31,03.35,4,00.43
Jorginho,it ITA,MF,Arsenal,31-140,1991,6.8,14,02.05,3,00.44
Jorginho,it ITA,MF,Chelsea,31-140,1991,14.2,29,02.04,2,00.14
Mateo Joseph,eng ENG,FWMF,Leeds United,19-202,2003,0.3,0,00.00,0,00.00
Diogo Jota,pt POR,FW,Liverpool,26-156,1996,11.1,28,02.53,5,00.45
Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-082,2000,4.7,20,04.22,1,00.21
James Justin,eng ENG,DF,Leicester City,25-075,1998,13.9,21,01.51,2,00.14
Mathias Jørgensen,dk DEN,DF,Brentford,33-016,1990,11.1,6,00.54,1,00.09
Sasa Kalajdzic,at AUT,FW,Wolves,25-306,1997,0.5,0,00.00,0,00.00
Boubacar Kamara,fr FRA,MF,Aston Villa,23-167,1999,17.5,22,01.26,4,00.23
Harry Kane,eng ENG,FW,Tottenham,29-285,1993,34.8,125,03.59,16,00.46
N'Golo Kanté,fr FRA,MF,Chelsea,32-041,1991,5.8,24,04.17,2,00.35
Michael Keane,eng ENG,DF,Everton,30-118,1993,10.3,7,01.08,1,00.10
Neeskens Kebano,cd COD,FW,Fulham,31-060,1992,8.3,23,03.16,5,01.00
Thilo Kehrer,de GER,DF,West Ham,26-230,1996,23.3,23,01.39,4,00.17
