Player,Nation,Pos,Squad,90s,Passes Cmp,Passes Att,passes Cmp%,Assists,xAG,xA,KP,Final 3rd,PPA,CrsPA,PrgP
Rúben Dias,pt POR,DF,Manchester City,21.2,1836,1983,92.6,0,0.6,0.3,3,130,0,0,95
Luis Díaz,co COL,FW,Liverpool,9.1,299,366,81.7,2,1.3,1.1,10,21,8,1,39
Eric Dier,eng ENG,DF,Tottenham,31.3,1708,2001,85.4,1,1.2,0.6,7,76,8,3,87
Lucas Digne,fr FRA,DF,Aston Villa,15.1,655,864,75.8,0,1.8,1.7,17,35,22,14,52
Issa Diop,fr FRA,DF,Fulham,19.4,1047,1218,86.0,0,0.0,0.2,1,65,3,0,63
Moussa Djenepo,ml MLI,DFFW,Southampton,7.7,169,232,72.8,2,0.5,0.4,8,13,5,3,18
Ben Doak,sct SCO,FW,Liverpool,0.3,10,14,71.4,0,0.0,0.0,0,0,0,0,1
Matt Doherty,ie IRL,DFMF,Tottenham,7.4,329,408,80.6,0,0.3,0.3,6,14,5,3,20
Gabriel Dos Santos,br BRA,DF,Arsenal,34.9,1984,2218,89.4,0,0.2,0.6,4,156,3,0,145
Abdoulaye Doucouré,ml MLI,MF,Everton,14.0,376,474,79.3,2,2.0,0.9,19,26,10,0,35
Cheick Doucouré,ml MLI,MF,Crystal Palace,28.1,932,1128,82.6,3,1.9,1.1,25,99,10,1,128
Flynn Downes,eng ENG,MF,West Ham,6.5,180,216,83.3,0,0.0,0.1,1,12,1,0,15
Cody Drameh,eng ENG,DF,Leeds United,0.8,30,38,78.9,0,0.0,0.0,0,2,0,0,2
Martin Dúbravka,sk SVK,GK,Newcastle Utd,0.7,19,22,86.4,0,0.0,0.0,0,1,0,0,0
Shane Duffy,ie IRL,DFFW,Fulham,0.2,16,20,80.0,0,0.0,0.0,0,0,0,0,0
Lewis Dunk,eng ENG,DF,Brighton,33.0,2658,2944,90.3,0,1.0,0.9,9,168,9,1,150
Jhon Durán,co COL,FWMF,Aston Villa,1.2,14,24,58.3,0,0.0,0.0,1,1,1,0,4
Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,0.4,5,10,50.0,0,0.0,0.0,0,0,0,0,2
Ederson,br BRA,GK,Manchester City,33.0,1009,1174,85.9,1,0.2,0.2,1,13,0,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,18.0,270,376,71.8,2,1.1,0.7,15,9,9,0,32
Samuel Edozie,eng ENG,FWMF,Southampton,6.3,111,164,67.7,0,0.4,0.4,8,6,6,1,13
Anthony Elanga,se SWE,FW,Manchester Utd,4.7,95,130,73.1,1,0.9,1.0,6,3,3,0,8
Harvey Elliott,eng ENG,MFFW,Liverpool,17.4,776,968,80.2,2,3.3,4.3,23,65,38,6,127
Mohamed Elneny,eg EGY,MF,Arsenal,1.3,57,60,95.0,0,0.0,0.0,0,3,2,0,2
Mohamed Elyounoussi,no NOR,MFFW,Southampton,22.4,401,597,67.2,1,2.1,1.6,18,29,18,6,47
Emerson,br BRA,DF,Tottenham,16.5,714,890,80.2,1,0.6,1.0,9,46,16,3,71
Christian Eriksen,dk DEN,MF,Manchester Utd,19.9,1054,1308,80.6,7,3.8,2.9,31,130,23,4,143
Pervis Estupiñán,ec ECU,DF,Brighton,25.2,1386,1682,82.4,4,4.1,2.9,43,88,35,14,138
Jonny Evans,nir NIR,DF,Leicester City,9.0,603,675,89.3,0,0.0,0.1,1,40,1,0,31
Eberechi Eze,eng ENG,MFFW,Crystal Palace,26.3,822,1049,78.4,3,3.9,2.8,52,76,30,2,111
?ukasz Fabia?ski,pl POL,GK,West Ham,31.6,537,845,63.6,0,0.0,0.0,0,12,0,0,0
Fabinho,br BRA,MF,Liverpool,27.2,1471,1666,88.3,1,1.9,1.7,15,116,13,0,141
Wout Faes,be BEL,DF,Leicester City,28.0,1486,1739,85.5,2,0.6,0.6,9,69,5,0,72
Felipe,br BRA,DF,Nott'ham Forest,13.9,389,538,72.3,1,0.5,0.8,5,14,2,0,20
João Félix,pt POR,FWMF,Chelsea,9.0,236,309,76.4,0,0.5,0.9,7,27,14,1,41
Evan Ferguson,ie IRL,FW,Brighton,7.2,138,172,80.2,2,0.5,0.5,8,2,5,0,8
Bruno Fernandes,pt POR,MFFW,Manchester Utd,33.0,1344,1819,73.9,7,14.6,9.5,103,131,74,9,231
Enzo Fernández,ar ARG,MF,Chelsea,13.2,955,1083,88.2,2,1.5,1.5,13,122,15,0,119
Roberto Firmino,br BRA,FWMF,Liverpool,12.6,426,540,78.9,4,2.3,1.9,20,45,18,1,76
Junior Firpo,es ESP,DF,Leeds United,13.9,424,572,74.1,1,0.8,0.7,8,35,7,3,48
Phil Foden,eng ENG,FW,Manchester City,16.9,730,915,79.8,6,3.4,3.5,35,29,29,9,67
Datro Fofana,ci CIV,FW,Chelsea,0.7,4,6,66.7,0,0.1,0.1,2,0,1,0,1
Wesley Fofana,fr FRA,DF,Leicester City,2.0,117,140,83.6,0,0.0,0.0,0,16,0,0,6
Wesley Fofana,fr FRA,DF,Chelsea,10.6,615,691,89.0,0,0.0,0.3,1,44,2,0,36
Pablo Fornals,es ESP,FWMF,West Ham,14.1,456,640,71.3,1,1.5,1.8,14,48,8,4,64
Adam Forshaw,eng ENG,MF,Leeds United,3.1,90,111,81.1,0,0.5,0.3,2,12,1,0,14
Fraser Forster,eng ENG,GK,Tottenham,10.5,209,272,76.8,0,0.0,0.0,0,2,0,0,0
Tyrese Francois,au AUS,FW,Fulham,0.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,3.5,85,122,69.7,0,0.4,0.3,5,4,4,1,9
Fred,br BRA,MF,Manchester Utd,12.8,553,705,78.4,1,2.1,1.3,23,54,10,2,67
Ryan Fredericks,eng ENG,DF,Bournemouth,5.9,149,220,67.7,0,0.1,0.3,1,5,6,1,15
Remo Freuler,ch SUI,MF,Nott'ham Forest,24.0,664,836,79.4,0,0.8,0.7,12,47,6,3,54
Cody Gakpo,nl NED,FW,Liverpool,13.8,247,332,74.4,2,1.7,1.3,17,25,10,1,38
Conor Gallagher,eng ENG,MFFW,Chelsea,14.6,577,722,79.9,1,2.3,1.6,21,58,16,5,88
Idrissa Gana Gueye,sn SEN,MF,Everton,26.1,956,1138,84.0,1,1.1,0.8,11,100,5,0,87
Alejandro Garnacho,es ESP,FWMF,Manchester Utd,5.0,115,143,80.4,2,1.0,0.9,2,1,1,0,5
James Garner,eng ENG,MF,Everton,6.1,172,235,73.2,1,0.2,0.3,4,13,4,2,23
David de Gea,es ESP,GK,Manchester Utd,34.0,788,1105,71.3,0,0.1,0.2,1,6,1,0,0
Joe Gelhardt,eng ENG,FW,Leeds United,2.4,43,67,64.2,2,0.5,0.4,2,3,1,0,6
Saman Ghoddos,ir IRN,MFDF,Brentford,1.5,54,73,74.0,0,0.4,0.3,3,3,1,0,6
Morgan Gibbs-White,eng ENG,FWMF,Wolves,2.0,75,95,78.9,0,0.1,0.2,1,10,1,0,12
Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,30.0,626,1013,61.8,7,7.9,6.0,62,69,40,5,129
Billy Gilmour,sct SCO,MF,Brighton,3.8,271,298,90.9,0,0.1,0.6,1,23,6,0,30
Degnand Gnonto,it ITA,FWMF,Leeds United,14.1,342,477,71.7,4,2.1,2.1,20,12,16,4,32
Ben Godfrey,eng ENG,DF,Everton,8.9,182,281,64.8,1,0.2,0.1,3,24,1,1,19
João Gomes,br BRA,MF,Wolves,5.3,184,242,76.0,0,0.2,0.1,5,12,0,0,15
Toti Gomes,pt POR,DF,Wolves,9.0,355,434,81.8,0,0.2,0.2,3,21,6,2,21
Joe Gomez,eng ENG,DF,Liverpool,15.3,1086,1275,85.2,0,0.2,0.7,1,116,4,0,103
Sergio Gómez,es ESP,DFMF,Manchester City,1.9,133,153,86.9,1,0.4,0.2,2,13,2,0,10
Anthony Gordon,eng ENG,FWMF,Newcastle Utd,4.4,144,175,82.3,0,0.8,0.8,5,11,4,0,14
Anthony Gordon,eng ENG,FW,Everton,12.2,193,280,68.9,0,0.6,0.5,8,8,11,2,19
Demarai Gray,eng ENG,FWMF,Everton,26.2,549,795,69.1,1,3.7,3.7,35,30,17,6,45
Jack Grealish,eng ENG,FW,Manchester City,22.7,898,1067,84.2,7,7.0,6.7,50,28,48,2,100
Sam Greenwood,eng ENG,MFFW,Leeds United,4.1,101,166,60.8,2,1.1,1.0,13,14,1,0,14
Pascal Groß,de GER,MFDF,Brighton,31.2,1661,2089,79.5,6,9.5,8.0,71,138,62,12,232
Vicente Guaita,es ESP,GK,Crystal Palace,27.0,610,845,72.2,0,0.0,0.0,0,3,0,0,1
Gonçalo Guedes,pt POR,FWMF,Wolves,7.9,138,201,68.7,1,0.5,0.5,9,11,8,2,16
Marc Guéhi,eng ENG,DF,Crystal Palace,34.0,1658,1954,84.9,0,0.3,0.6,8,124,2,0,95
Bruno Guimarães,br BRA,MF,Newcastle Utd,26.3,1177,1421,82.8,5,3.8,3.3,36,125,40,2,184
?lkay Gündo?an,de GER,MF,Manchester City,24.3,1259,1451,86.8,3,3.0,4.0,34,136,35,1,164
Darko Gyabi,eng ENG,FW,Leeds United,0.1,4,4,100.0,0,0.0,0.0,0,0,0,0,2
Erling Haaland,no NOR,FW,Manchester City,28.7,341,471,72.4,7,4.8,2.9,27,14,22,0,57
Lewis Hall,eng ENG,DFMF,Chelsea,3.4,147,195,75.4,0,0.3,0.2,4,10,3,1,9
Luke Harris,wls WAL,MFFW,Fulham,0.1,13,14,92.9,0,0.0,0.0,0,1,0,0,1
Jack Harrison,eng ENG,FWMF,Leeds United,27.7,672,1064,63.2,7,4.9,4.7,50,48,43,16,90
Kai Havertz,de GER,FWMF,Chelsea,26.1,643,798,80.6,1,3.4,2.5,35,43,23,2,75
Jan Paul van Hecke,nl NED,DF,Brighton,1.0,96,101,95.0,0,0.0,0.0,0,13,0,0,10
Hwang Hee-chan,kr KOR,FWMF,Wolves,10.5,173,229,75.5,1,1.0,0.5,9,8,7,1,23
Dean Henderson,eng ENG,GK,Nott'ham Forest,18.0,425,671,63.3,0,0.0,0.0,0,11,1,0,0
Jordan Henderson,eng ENG,MF,Liverpool,21.1,1232,1487,82.9,2,2.9,3.2,27,146,42,10,175
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,2.0,45,56,80.4,0,0.0,0.0,0,2,0,0,0
Rico Henry,eng ENG,DF,Brentford,33.0,776,1079,71.9,2,2.5,2.6,21,67,34,12,98
Son Heung-min,kr KOR,MFFW,Tottenham,29.3,607,827,73.4,5,5.6,3.9,55,30,30,5,73
Aaron Hickey,sct SCO,DF,Brentford,18.6,600,726,82.6,0,0.2,0.5,3,56,11,4,74
Joseph Hodge,ie IRL,MF,Wolves,1.9,69,87,79.3,0,0.1,0.0,1,7,1,0,7
