Player,Nation,Pos,Squad,90s,Passes Cmp,Passes Att,passes Cmp%,Assists,xAG,xA,KP,Final 3rd,PPA,CrsPA,PrgP
Maximilian Wöber,at AUT,DF,Leeds United,11.4,409,582,70.3,0,0.5,0.3,5,51,2,1,46
Chris Wood,nz NZL,FW,Newcastle Utd,5.0,66,106,62.3,0,0.3,0.3,3,3,1,0,4
Chris Wood,nz NZL,FW,Nott'ham Forest,4.1,43,71,60.6,0,0.2,0.1,3,5,2,0,7
Joe Worrall,eng ENG,DF,Nott'ham Forest,21.7,820,1059,77.4,0,0.8,0.6,5,69,6,0,62
Granit Xhaka,ch SUI,MF,Arsenal,31.1,1321,1561,84.6,7,5.0,4.0,45,142,40,4,192
Ryan Yates,eng ENG,MF,Nott'ham Forest,17.5,411,528,77.8,2,1.2,0.4,7,26,3,0,41
Ashley Young,eng ENG,DF,Aston Villa,21.2,854,1130,75.6,0,1.0,0.8,14,78,18,5,102
Illia Zabarnyi,ua UKR,DF,Bournemouth,0.3,4,5,80.0,0,0.0,0.0,0,2,0,0,1
Wilfried Zaha,ci CIV,FWMF,Crystal Palace,24.9,472,613,77.0,2,2.6,2.8,25,16,40,3,70
Denis Zakaria,ch SUI,MF,Chelsea,4.6,158,179,88.3,0,0.0,0.1,1,8,0,0,6
Jordan Zemura,zw ZIM,DF,Bournemouth,16.2,423,594,71.2,1,1.9,2.1,18,32,12,5,45
Oleksandr Zinchenko,ua UKR,DF,Arsenal,23.5,1652,1911,86.4,2,1.4,2.4,19,201,41,4,227
Hakim Ziyech,ma MAR,FWMF,Chelsea,7.0,234,364,64.3,2,1.8,1.5,12,19,17,7,39
Kurt Zouma,fr FRA,DF,West Ham,21.6,689,817,84.3,0,0.1,0.1,1,19,2,0,30
Martin Ødegaard,no NOR,MF,Arsenal,32.1,1325,1649,80.4,7,7.5,7.3,70,128,86,4,247
