Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Cmp - short,Att - short,Cmp% - short,Cmp - medium,Att - medium,Cmp% - medium,Cmp - long,Att - long,Cmp% - long,Ast,xAG,xA,Key Passes,Passes Into Final 3rd,Passes Into Penalty Area,Crs Into Penalty Area,Prg
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-233,1991,26.2,592,375,428,87.6,172,224,76.8,15,40,37.5,2,2.6,2.2,28,32,14,6,56
38,Luke Ayling,eng ENG,DF,Leeds United,31-250,1991,18.8,681,378,435,86.9,230,321,71.7,55,132,41.7,1,1.9,2.1,11,52,15,8,66
39,César Azpilicueta,es ESP,DF,Chelsea,33-247,1989,12.8,674,379,412,92.0,270,333,81.1,15,63,23.8,0,1.0,1.0,10,32,16,4,61
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-037,2001,8.1,590,225,248,90.7,317,338,93.8,44,62,71.0,0,0.5,0.2,3,36,5,0,45
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-266,1997,19.3,309,170,219,77.6,90,142,63.4,34,71,47.9,3,3.6,4.0,24,18,19,14,26
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-192,2004,5.8,200,98,118,83.1,74,89,83.1,18,29,62.1,0,0.4,0.5,4,17,7,1,24
43,Patrick Bamford,eng ENG,FW,Leeds United,29-239,1993,14.6,206,148,187,79.1,32,55,58.2,2,6,33.3,2,0.9,0.6,11,18,9,0,22
44,Shandon Baptiste,gd GRN,MF,Brentford,25-024,1998,6.3,232,121,135,89.6,85,95,89.5,20,31,64.5,1,1.0,0.5,9,22,8,2,39
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-144,1997,27.1,498,328,421,77.9,127,191,66.5,16,36,44.4,1,2.9,1.9,17,35,28,4,70
46,Gavin Bazunu,ie IRL,GK,Southampton,21-071,2002,32.0,718,183,185,98.9,256,263,97.3,278,722,38.5,0,0.1,0.1,1,42,1,0,1
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-115,1999,0.2,7,3,3,100.0,3,4,75.0,1,4,25.0,0,0.0,0.0,0,2,0,0,1
48,Jan Bednarek,pl POL,DF,Southampton,27-020,1996,14.6,580,233,273,85.3,280,308,90.9,60,99,60.6,0,0.1,0.2,3,25,0,0,33
49,Jan Bednarek,pl POL,DF,Aston Villa,27-020,1996,1.1,60,16,17,94.1,33,35,94.3,10,12,83.3,0,0.0,0.0,0,4,0,0,5
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-014,1997,1.9,46,31,34,91.2,8,8,100.0,1,2,50.0,0,0.1,0.1,3,0,4,0,6
51,Asmir Begović,ba BIH,GK,Everton,35-316,1987,1.0,21,3,3,100.0,10,10,100.0,8,17,47.1,0,0.0,0.0,0,0,0,0,0
52,Armel Bella Kotchap,de GER,DF,Southampton,21-142,2001,20.5,713,276,311,88.7,363,402,90.3,66,156,42.3,2,1.0,0.4,6,31,4,0,36
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-265,1995,20.9,523,325,368,88.3,155,210,73.8,22,57,38.6,3,3.9,2.8,42,25,17,9,70
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-311,1997,16.7,738,368,413,89.1,301,336,89.6,39,70,55.7,2,0.8,0.7,11,54,9,4,76
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-137,2002,9.1,299,160,192,83.3,117,181,64.6,19,52,36.5,1,0.8,0.6,6,23,4,3,26
56,Owen Bevan,wls WAL,DF,Bournemouth,19-188,2003,0.1,2,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-032,2000,0.2,15,6,7,85.7,8,10,80.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-325,1996,28.1,728,412,489,84.3,233,290,80.3,39,83,47.0,1,3.1,2.2,23,43,8,3,73
59,Yves Bissouma,ml MLI,MF,Tottenham,26-245,1996,9.0,514,266,281,94.7,208,225,92.4,25,33,75.8,0,0.5,0.3,8,40,4,1,45
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-088,1991,6.6,181,59,72,81.9,100,118,84.7,18,42,42.9,1,0.2,0.3,1,7,0,0,10
61,Sven Botman,nl NED,DF,Newcastle Utd,23-110,2000,29.7,1288,402,458,87.8,717,785,91.3,155,228,68.0,0,1.0,1.0,8,52,2,0,74
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-133,1996,32.7,499,283,349,81.1,153,206,74.3,48,151,31.8,4,6.3,5.2,42,34,23,8,65
63,James Bree,eng ENG,DF,Southampton,25-203,1997,2.2,85,52,67,77.6,21,31,67.7,8,15,53.3,0,0.2,0.2,4,4,5,4,3
64,Armando Broja,al ALB,FW,Chelsea,21-234,2001,3.3,33,21,33,63.6,9,15,60.0,2,3,66.7,0,0.1,0.1,1,1,1,0,4
65,David Brooks,wls WAL,DFFW,Bournemouth,25-298,1997,0.3,2,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
66,Lewis Brunt,eng ENG,DF,Leicester City,22-177,2000,0.3,17,7,8,87.5,10,11,90.9,0,1,0.0,0,0.0,0.0,0,0,0,0,0
67,Bryan,es ESP,MFFW,Tottenham,22-080,2001,1.6,47,26,32,81.3,14,16,87.5,2,4,50.0,1,0.2,0.1,2,3,2,0,5
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-128,1996,24.6,741,405,479,84.6,243,308,78.9,60,83,72.3,2,5.2,3.9,37,80,37,0,131
69,Hugo Bueno,es ESP,DF,Wolves,20-226,2002,13.7,519,331,359,92.2,155,194,79.9,19,50,38.0,1,1.1,0.9,15,24,10,6,38
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-130,2004,2.0,52,40,43,93.0,8,12,66.7,2,4,50.0,1,0.5,0.1,5,3,1,0,3
71,Dan Burn,eng ENG,DF,Newcastle Utd,30-358,1992,30.5,1175,573,648,88.4,495,604,82.0,85,167,50.9,0,1.2,1.2,14,82,9,1,100
72,Cafú,pt POR,MF,Nott'ham Forest,30-065,1993,0.1,2,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
73,Moisés Caicedo,ec ECU,MF,Brighton,21-181,2001,28.4,1619,903,977,92.4,552,608,90.8,108,137,78.8,1,2.4,2.1,35,145,30,5,173
74,Tom Cairney,sct SCO,MF,Fulham,32-102,1991,6.8,449,226,246,91.9,159,184,86.4,41,62,66.1,0,1.2,1.2,10,54,13,5,69
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-227,1996,10.5,480,155,173,89.6,268,289,92.7,53,93,57.0,0,0.0,0.2,1,26,0,0,33
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-047,1997,11.0,111,72,108,66.7,23,42,54.8,3,5,60.0,0,0.5,0.3,7,9,3,0,13
77,Chem Campbell,wls WAL,FWMF,Wolves,20-123,2002,0.8,23,10,11,90.9,13,14,92.9,0,5,0.0,0,0.0,0.0,0,2,0,0,4
78,João Cancelo,pt POR,DF,Manchester City,28-340,1994,14.2,1036,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,12,80,36,9,106
79,Thomas Cannon,ie IRL,FW,Everton,20-125,2002,0.3,4,3,4,75.0,1,1,100.0,0,0,,0,0.5,0.0,1,0,0,0,0
80,Sergi Canós,es ESP,FWDF,Brentford,26-089,1997,0.9,23,14,18,77.8,4,15,26.7,1,2,50.0,0,0.0,0.0,1,2,1,0,2
81,Diego Carlos,br BRA,DF,Aston Villa,30-048,1993,2.0,101,30,36,83.3,57,66,86.4,14,24,58.3,0,0.0,0.0,0,8,0,0,10
